f_pois,s_pois,reg_score,priority,office_id,score
126|116,126|116,244.80368284887848,129,3073,424.80368284887845
,,423.75284486854503,130,2940,423.75284486854503
,,423.06081771689935,131,3142,423.06081771689935
,,422.79737810946608,132,3101,422.79737810946608
,,419.48864553280276,133,3106,419.48864553280276
,,419.21113734503314,134,3159,419.21113734503314
,,418.44464462832445,135,3082,418.44464462832445
,,415.81110942650361,136,3024,415.81110942650361
,,415.78020398488587,137,3144,415.78020398488587
,,413.21220791482779,138,2876,413.21220791482779
,,412.43285864241716,139,3129,412.43285864241716
,,411.42389387842093,140,2979,411.42389387842093
,,410.81731217357037,141,3104,410.81731217357037
,,410.65902183734465,142,3150,410.65902183734465
103,103,319.9578746118234,143,2872,409.9578746118234
,,409.40032005954663,144,3037,409.40032005954663
,,406.43253989407071,145,2900,406.43253989407071
,,405.8117536887392,146,3058,405.8117536887392
,,404.21289612981042,147,3030,404.21289612981042
,,404.17502057930528,148,2950,404.17502057930528
,,404.0758535022693,149,3006,404.0758535022693
,,402.92063778826093,150,3049,402.92063778826093
,,402.53197608875058,151,2951,402.53197608875058
,,401.21213622104744,152,2880,401.21213622104744
,,400.60722152525557,153,2873,400.60722152525557
,,400.52487923676767,154,3164,400.52487923676767
,,398.5016851289472,155,3163,398.5016851289472
,,398.12126524498058,156,3039,398.12126524498058
,,397.52178036123519,157,2991,397.52178036123519
,,396.89688109298731,158,3118,396.89688109298731
,,396.72284827119324,159,3136,396.72284827119324
,,396.633381738803,160,3160,396.633381738803
,,396.4555418374822,161,2860,396.4555418374822
,,395.06409320222349,162,3119,395.06409320222349
,,394.30018782785078,163,3121,394.30018782785078
372,372,303.91506401700087,164,2933,393.91506401700087
359|360,359|360,302.40052962595865,165,3139,392.40052962595865
,,392.01564647782499,166,3053,392.01564647782499
,,391.81507747907983,167,3068,391.81507747907983
,,391.75776215735038,168,2995,391.75776215735038
,,391.35594361792948,169,2911,391.35594361792948
,,389.95995594905963,170,3127,389.95995594905963
,,388.83339054488204,171,2902,388.83339054488204
,,387.6234908173185,172,3115,387.6234908173185
,,387.59235569212319,173,3094,387.59235569212319
,,387.16854489591742,174,3003,387.16854489591742
,,386.73802838192569,175,2952,386.73802838192569
,,384.80747178758315,176,3168,384.80747178758315
,,384.66306431766748,177,2960,384.66306431766748
,,384.11037674587999,178,3019,384.11037674587999
,,383.87390966966944,179,2978,383.87390966966944
,,383.03056796737872,180,3071,383.03056796737872
